hotelIndex,hotelName,address,rating,latitude,longitude
224,Airport Hotel Vishal Residency,"NH-8,RANGPURI,NEAR RADISSONHOTEL,NEW DELHI ",3,28.54277,77.11863
591,Hotel Diamond Inn,"1D 5B, BP, N.I.T., Near Hardware Chowk,",2,28.379522,77.29773
116,Nandkartar Orchid Suites,"15A/18 W.E.A, Sarswati Marg, Karol Bagh",3,28.646278,77.18798
216,Metro Star Hotel,"E-59/2, Main Road, Metro Pillar, No 142, Jasola, ",3,0,0
298,Hotel Surya Plaza-Tilak Nagar,1/20 - Main Najafgarh Road Opp Metro Pillar No.532 Tilak Nagar,2,28.63556,77.09201
327,Mehra Residency - Dwarka,"A-45, Sector 19, Behind Vardhman Crown Mall, Dwarka, New Delhi",3,28.575401,77.051056
436,Hotel Sita International,"3/10, D. B. Gupta Road, Pahar Ganj",3,28.644804,77.21501
503,Hotel Kabli,"73, Masjid Road, Jangpura",2,28.579699,77.24952
646,Hotel Dahleez,"B-751, Sushant Lok-1, Gurgaon",3,28.462292,77.08016
712,Qcent Hotel Gurgaon by Pacific Inn,"Plot No.-1, Sector-15, Phase-2, (near 32nd Milestone)",3,28.46286,77.04954
784,Empire BnB,"C-1 Green Wood City, Sector 45, Near Cyber Park",2,28.442415,77.06059
790,Gokul Residency Dwarka,"C-928, Sector-7, Ramphal Chowk, Dwarka ",3,28.585772,77.06989
393,Pacific Inn Eco Central-Huda City Centre,"Plot No.2024, Sec-45, Near Ramada Gurgan Central",3,28.449793,77.06709
85,Hotel Smart Palace,"A-132, Road No 5, Mahipalpur ",3,28.550411,77.1309
612,Hotel Star Plaza,"5158,  Main Bazar,  Pahar Ganj,  Near Imperial Cinema",3,28.6406,77.21096
213,Vipul Grand,"N 14/33, DLF Phase-II, Near Police Station",3,28.488373,77.089615
589,Hotel Sohana Palace,"2307-09, Chuna Mandi, Paharganj, New Delhi",2,28.641273,77.21109
862,Hotel Rama Inn,4 Arakashan Road Near New Delhi Railway Station,3,28.645569,77.21726
265,Hotel Airport City,"A-11, Street No- 1 Mahipalpur Extn. Near IGI Airport",3,28.546814,77.12643
